brand;name;model;part_number;your_net_price;suggested_retail_price;ean;size;width;pcd;et;colour;center_bore;stock;next_delivery;photo;photo1;photo2;photo3;photo4;photo5;link_3d;youtube_link;release_date;description;outlet_colour;production_method;max_load;cn_code;suggested_retail_price_sale
SIXNINE WHEELS;SIXNINE EVO-ONE 9x18 ET35 5x100/5x114,3 GlossyBlack;EVO-ONE;SNEVOONE189ET35100114-GlossyBlack;;349,99;;18”;9”;5x100, 5x114.3;35;GlossyBlack;73.1;99;;https://sixnine-wheels.com/cdn/shop/files/EVO-ONE_Black_Hero.png?v=1734101823&width=713;;;;;;;;;;;FlowForm;545;;
SIXNINE WHEELS;SIXNINE EVO-ONE 9x18 ET35 5x100/5x114,3 GunMetal;EVO-ONE;SNEVOONE189ET35100114-GunMetal;;349,99;;18”;9”;5x100, 5x114.3;35;GunMetal;73.1;99;;https://sixnine-wheels.com/cdn/shop/files/EVO-ONE_Gunmetal_Hero.png?v=1734101835&width=713;;;;;;;;;;;FlowForm;545;;
SIXNINE WHEELS;SIXNINE EVO-ONE 9x18 ET35 5x100/5x114,3 HyperSilver;EVO-ONE;SNEVOONE189ET35100114-HyperSilver;;349,99;;18”;9”;5x100, 5x114.3;35;HyperSilver;73.1;99;;https://sixnine-wheels.com/cdn/shop/files/EVO-ONE_Silver_Hero.png;;;;;;;;;;;FlowForm;545;;
SIXNINE WHEELS;SIXNINE EVO-ONE 9x18 ET35 5x100/5x114,3 PureWhite;EVO-ONE;SNEVOONE189ET35100114-PureWhite;;349,99;;18”;9”;5x100, 5x114.3;35;PureWhite;73.1;99;;https://sixnine-wheels.com/cdn/shop/files/EVO-ONE_White_Hero.png?v=1734101846&width=713;;;;;;;;;;;FlowForm;545;;
SIXNINE WHEELS;SIXNINE EVO-ONE 9x18 ET35 5x100/5x114,3 LiquidMetal;EVO-ONE;SNEVOONE189ET35100114-LiquidMetal;;474,99;;18”;9”;5x100, 5x114.3;35;LiquidMetal;73.1;99;;;;;;;;;;;;;FlowForm;545;;
SIXNINE WHEELS;SIXNINE EVO-ONE 8.5x19 ET35 5x112/5x120 GlossyBlack;EVO-ONE;SNEVOONE1985ET35112120-GlossyBlack;;469,99;;19”;8.5”;5x112, 5x120;35;GlossyBlack;72.6;99;;https://sixnine-wheels.com/cdn/shop/files/EVO-ONE_1985_GlossyBlack_Hero.png?width=3000;;;;;;;;;;;FlowForm;650;;
SIXNINE WHEELS;SIXNINE EVO-ONE 8.5x19 ET35 5x112/5x120 HyperSilver;EVO-ONE;SNEVOONE1985ET35112120-HyperSilver;;469,99;;19”;8.5”;5x112, 5x120;35;HyperSilver;72.6;99;;https://sixnine-wheels.com/cdn/shop/files/EVO-ONE_1985_HyperSilver_Hero.png?width=3000;;;;;;;;;;;FlowForm;650;;
SIXNINE WHEELS;SIXNINE EVO-ONE 8.5x19 ET35 5x112/5x120 PureWhite;EVO-ONE;SNEVOONE1985ET35112120-PureWhite;;469,99;;19”;8.5”;5x112, 5x120;35;PureWhite;72.6;99;;https://sixnine-wheels.com/cdn/shop/files/EVO-ONE_1985_PureWhite_Hero.png?width=3000;;;;;;;;;;;FlowForm;650;;
SIXNINE WHEELS;SIXNINE EVO-ONE 8.5x19 ET35 5x112/5x120 LiquidMetal;EVO-ONE;SNEVOONE1985ET35112120-LiquidMetal;;594,99;;19”;8.5”;5x112, 5x120;35;LiquidMetal;72.6;99;;https://sixnine-wheels.com/cdn/shop/files/EVO-ONE_1985_HyperShine_Hero.webp?width=3000;;;;;;;;;;;FlowForm;650;;
SIXNINE WHEELS;SIXNINE EVO-ONE 9x19 ET28 5x110/5x114,3 GlossyBlack;EVO-ONE;SNEVOONE199ET281101143-GlossyBlack;;489,99;;19”;9”;5x110, 5x114.3;28;GlossyBlack;73.1;99;;https://sixnine-wheels.com/cdn/shop/files/EVO-ONE_1990_GlossyBlack_Hero.png?width=3000;;;;;;;;;;;FlowForm;650;;
SIXNINE WHEELS;SIXNINE EVO-ONE 9x19 ET28 5x110/5x114,3 HyperSilver;EVO-ONE;SNEVOONE199ET281101143-HyperSilver;;489,99;;19”;9”;5x110, 5x114.3;28;HyperSilver;73.1;99;;https://sixnine-wheels.com/cdn/shop/files/EVO-ONE_1990_HyperSilver_Hero.png?width=3000;;;;;;;;;;;FlowForm;650;;
SIXNINE WHEELS;SIXNINE EVO-ONE 9x19 ET28 5x110/5x114,3 PureWhite;EVO-ONE;SNEVOONE199ET281101143-PureWhite;;489,99;;19”;9”;5x110, 5x114.3;28;PureWhite;73.1;99;;https://sixnine-wheels.com/cdn/shop/files/EVO-ONE_1990_PureWhite_Hero.png?width=3000;;;;;;;;;;;FlowForm;650;;
SIXNINE WHEELS;SIXNINE EVO-ONE 9x19 ET28 5x110/5x114,3 LiquidMetal;EVO-ONE;SNEVOONE199ET281101143-LiquidMetal;;614,99;;19”;9”;5x110, 5x114.3;28;LiquidMetal;73.1;99;;https://sixnine-wheels.com/cdn/shop/files/EVO-ONE_1990_HyperShine_Hero.webp?width=3000;;;;;;;;;;;FlowForm;650;;
SIXNINE WHEELS;SIXNINE EVO-ONE 9x19 ET28 5x112/5x120 GlossyBlack;EVO-ONE;SNEVOONE199ET28112120-GlossyBlack;;489,99;;19”;9”;5x112, 5x120;28;GlossyBlack;72.6;99;;https://sixnine-wheels.com/cdn/shop/files/EVO-ONE_1990_GlossyBlack_Hero.png?width=3000;;;;;;;;;;;FlowForm;650;;
SIXNINE WHEELS;SIXNINE EVO-ONE 9x19 ET28 5x112/5x120 HyperSilver;EVO-ONE;SNEVOONE199ET28112120-HyperSilver;;489,99;;19”;9”;5x112, 5x120;28;HyperSilver;72.6;99;;https://sixnine-wheels.com/cdn/shop/files/EVO-ONE_1990_HyperSilver_Hero.png?width=3000;;;;;;;;;;;FlowForm;650;;
SIXNINE WHEELS;SIXNINE EVO-ONE 9x19 ET28 5x112/5x120 PureWhite;EVO-ONE;SNEVOONE199ET28112120-PureWhite;;489,99;;19”;9”;5x112, 5x120;28;PureWhite;72.6;99;;https://sixnine-wheels.com/cdn/shop/files/EVO-ONE_1990_PureWhite_Hero.png?width=3000;;;;;;;;;;;FlowForm;650;;
SIXNINE WHEELS;SIXNINE EVO-ONE 9x19 ET28 5x112/5x120 LiquidMetal;EVO-ONE;SNEVOONE199ET28112120-LiquidMetal;;614,99;;19”;9”;5x112, 5x120;28;LiquidMetal;72.6;99;;https://sixnine-wheels.com/cdn/shop/files/EVO-ONE_1990_HyperShine_Hero.webp?width=3000;;;;;;;;;;;FlowForm;650;;
SIXNINE WHEELS;SIXNINE EVO-ONE 9x19 ET40 5x112/5x120 GlossyBlack;EVO-ONE;SNEVOONE199ET40112120-GlossyBlack;;489,99;;19”;9”;5x112, 5x120;40;GlossyBlack;72.6;99;;https://sixnine-wheels.com/cdn/shop/files/EVO-ONE_1990_GlossyBlack_Hero.png?width=3000;;;;;;;;;;;FlowForm;650;;
